name,address,postcode,lat,lon,expectedGrades,specialisation,notes
Harris Westminster Sixth Form,"Westminster, SW1",SW1,51.4996085,-0.1310359,Selective entry - confirm grades,"Sciences, Economics, Humanities, Maths — no Business or D&T/Engineering A-level offered","Fit: Strong Fit. Travel from Carshalton: ≈45–55 min (rail to Victoria + short walk/tube). Excellent for STEM & Economics, less so for Business or hands-on making Pro: Outstanding results; run in partnership with Westminster School. Con: Very competitive entry; no Business A-level; academically intense. Site: harriswestminstersixthform.org.uk"
The Grey Coat Hospital,"Westminster / Victoria, SW1",SW1,51.4958987,-0.1340777,,Broad academic range including Business-related & creative subjects,"Fit: Good Fit. Travel from Carshalton: ≈40–50 min. Strong all-rounder option close to Victoria Pro: Outstanding across the board, oversubscribed for good reason. Con: Sixth form only lightly co-ed (girls' school); competitive external places. Site: gch.org.uk"
Westminster City School,"Westminster / Victoria, SW1",SW1,51.4978689,-0.1386650,,"Broad curriculum, strong links with local businesses/employers","Fit: Good Fit. Travel from Carshalton: ≈40–50 min. Good all-round option, practical/business-facing ethos Pro: Good pastoral care, central location. Con: Boys' school below sixth form — smaller female cohort at 16+. Site: wcsch.com"
Pimlico Academy,"Pimlico / Victoria, SW1",SW1,51.4878279,-0.1368449,,"Well-regarded, well-organised sixth form curriculum","Fit: Good Fit. Travel from Carshalton: ≈40–50 min. Solid, genuinely mixed option very close to Victoria Pro: Sixth form singled out as a particular strength by Ofsted. Con: Large school; tight catchment for non-siblings. Site: pimlico.futureacademies.org"
St Marylebone CE School,"Marylebone, W1",W1,51.5221193,-0.1520651,,"Specialisms in Performing Arts, General Arts, Maths & Computing","Fit: Good Fit. Travel from Carshalton: ≈50–65 min. Good if you want creativity alongside Computer Science/Maths Pro: Outstanding, strong creative + computing specialism. Con: Girls' school below sixth form; less Business-focused. Site: stmarylebone.school"
Holland Park School,"Holland Park / Kensington, W8",W8,51.5048399,-0.2007014,,"Business, Computer Science, Sciences, languages, Music, Art","Fit: Strong Fit. Travel from Carshalton: ≈55–65 min. Strong match — genuinely mixed, in your preferred Holland Park area Pro: Right in your preferred area, broad subject offer. Con: Longer commute than SW London options. Site: hollandparkschool.co.uk"
Kensington Aldridge Academy (KAA),"North Kensington, W10 (mins from Notting Hill/Holland Park)",W10,51.5144907,-0.2154289,Higher Maths grade for Physics,"Computer Science, Economics, Data Science, Architecture, Product Design, Fine Art — a genuine STEM/Business/making/creative mix","Fit: Excellent Fit. Travel from Carshalton: ≈55–65 min. Excellent fit — Business/CS/STEM/Engineering-adjacent design all well represented Pro: Dedicated sixth-form centre, strong creative + tech + design offer, right area. Con: Some subjects (e.g. Physics) carry higher Maths-grade requirements. Site: kaa.org.uk"
West London Free School,"Hammersmith, W6",W6,51.4927928,-0.2379492,,"Classical/academic curriculum, Computer Science, Sciences, Music, Drama","Fit: Good Fit. Travel from Carshalton: ≈60–75 min. Good — balances academic rigour with creative subjects Pro: Strong academic reputation, outstanding sixth-form outcomes. Con: Longer commute; less Business/D&T-specific than KAA or Ashcroft. Site: wlfs.org"
Hammersmith Academy,"Hammersmith, W12",W12,51.5021330,-0.2361500,,"Business, Computer Science, Economics, Media Studies — practical/STEM leaning, plus BTEC Business","Fit: Strong Fit. Travel from Carshalton: ≈60–75 min. Strong for Business + Computer Science combination Pro: Modern facilities, good Computer Science/Business department. Con: Smaller sixth form than some London competitors. Site: search ""Hammersmith Academy sixth form"" — confirm URL on official site"
Ark Burlington Danes Academy,"White City, W12",W12,51.5181670,-0.2325363,,"Broad academic curriculum, strong Ark-network university progression","Fit: Good Fit. Travel from Carshalton: ≈60–70 min. Good general option, verify current A-level list Pro: Strong, well-resourced academy trust (Ark Schools). Con: Less specifically known for Business/CS than KAA or Hammersmith Academy. Site: burlingtondanes.org"
